key,lat,lng
AUBURN|2144,-33.8545702,151.0255673
BANKSTOWN|2200,-33.9171897,151.0335881
BARRACK HEIGHTS|2528,-34.5652021,150.8507363
BELLA VISTA|2153,-33.7416936,150.9547183
BELMONT NORTH|2280,-33.0154318,151.6740434
BLACKTOWN|2148,-33.7739882,150.9036186
BLAXLAND|2774,-33.7460755,150.6092697
BONDI JUNCTION|2022,-33.8930034,151.2501228
BOTANY|2019,-33.947829,151.1990644
BOWRAL|2576,-34.4816626,150.4177868
BRONTE|2024,-33.9042128,151.2637774
CAMPBELLTOWN|2560,-34.0636914,150.8206159
CAMPERDOWN|2050,-33.8896116,151.1800986
CAMPSIE|2194,-33.9143894,151.1032133
CANLEY HEIGHTS|2166,-33.8816667,150.9261111
CARINGBAH SOUTH|2229,-34.0554491,151.1205937
CARINGBAH|2229,-34.0354477,151.1248018
CARTWRIGHT|2168,-33.9250864,150.8913549
CECIL HILLS|2171,-33.89,150.8511111
CHERRYBROOK|2126,-33.736709,151.0319686
CHIPPING NORTON|2170,-33.919687,150.9630711
COLLAROY|2097,-33.7382194,151.2996618
CONCORD REPATRIATION HOSPITAL|2139,-33.8379129,151.0932107
CONCORD|2137,-33.8556716,151.1067667
DARLINGHURST|2010,-33.8783381,151.219225
DOONSIDE|2767,-33.7549501,150.8685985
EAST MAITLAND|2323,-32.7575206,151.5854642
EASTERN CREEK|2766,-33.8059423,150.849956
EASTGARDENS|2036,-33.9447657,151.2250921
EDGECLIFF|2027,-33.8797692,151.2361116
FAIRFIELD WEST|2165,-33.8689308,150.9243383
FLINDERS|2529,-34.580956,150.846003
FRENCHS FOREST|2086,-33.7479954,151.2292718
GATESHEAD|2290,-32.9816667,151.6927778
GERRINGONG|2534,-34.7461982,150.8278546
GLEDSWOOD HILLS|2557,-34.0102826,150.78002
GLENMORE PARK|2745,-33.7887972,150.669496
GUILDFORD|2161,-33.8561049,150.9939232
HELENSBURGH|2508,-34.1908519,150.9822187
HINCHINBROOK|2168,-33.9159661,150.8645957
HORNSBY|2077,-33.7040253,151.1005847
HURSTVILLE|2220,-33.960707,151.1003611
KELLYVILLE RIDGE|2155,-33.7025,150.9186111
KEMPS CREEK|2178,-33.8813335,150.7837238
KENSINGTON|2033,-33.9117191,151.2195058
KINGSGROVE|2208,-33.9371844,151.0996523
KINGSWOOD|2747,-33.7613772,150.7213283
KOGARAH|2217,-33.968226,151.1354509
LIVERPOOL|2170,-33.9198252,150.92566
MACQUARIE UNIVERSITY|2109,-33.774197,151.1127138
MAROUBRA|2035,-33.9453441,151.2456824
MARYLAND|2287,-32.8788889,151.6636111
MEREWETHER|2291,-32.9475708,151.7454773
MERRYLANDS WEST|2160,-33.8359501,150.9681261
METFORD|2323,-32.7661165,151.6099995
MINCHINBURY|2770,-33.7866731,150.8272222
MIRANDA|2228,-34.0335434,151.1037193
MONA VALE|2103,-33.6769931,151.3029577
MORTDALE|2223,-33.9672997,151.0721865
MOUNT ANNAN|2567,-34.0628307,150.7576322
NEW LAMBTON|2305,-32.9277778,151.7108333
NEWTOWN|2042,-33.8961132,151.1801893
NORTH BALGOWLAH|2093,-33.7881457,151.2507285
NORTH PARRAMATTA|2151,-33.7952747,151.0116649
NORTH STRATHFIELD|2137,-33.8590236,151.0881331
NORTHMEAD|2152,-33.7844423,150.9983289
NOWRA|2541,-34.8741198,150.6004709
OLD TOONGABBIE|2146,-33.7858548,150.9699533
PENRITH|2750,-33.7511954,150.6941711
PRAIRIEWOOD|2176,-33.8631743,150.9055074
RANDWICK|2031,-33.914121,151.2410046
RAYMOND TERRACE|2324,-32.7610569,151.7462299
REVESBY|2212,-33.9436876,151.0137191
ROSEVILLE|2069,-33.784545,151.1778441
SPEERS POINT|2284,-32.9633333,151.6277778
SPRINGFIELD|2250,-33.4232322,151.3677115
ST IVES|2075,-33.7292063,151.159396
ST LEONARDS|2065,-33.8225666,151.1923402
STRATHFIELD|2135,-33.8791285,151.0811758
SYDNEY|2000,-33.8698439,151.2082848
TASCOTT|2250,-33.4509136,151.3186164
TERREY HILLS|2084,-33.6827484,151.2276933
VALENTINE|2280,-33.015,151.6344444
WAHROONGA|2076,-33.7183413,151.1174435
WARATAH|2298,-32.9023676,151.7312067
WARNERS BAY|2282,-32.9739199,151.6489887
WESTMEAD|2145,-33.8076498,150.9877265
WHITEBRIDGE|2290,-32.9736111,151.7158333
WINDSOR|2756,-33.6055342,150.821953
WOLLONGONG|2500,-34.4278083,150.893054
WOLLSTONECRAFT|2065,-33.8332039,151.1959273
WOOLOOWARE|2230,-34.0448411,151.1401717
